song_id,title,artist,genre,mood_tag,bpm,musical_key,camelot_key,energy,valence
1,Till I Collapse,Eminem,Rap,Workout,171,C# Major,3B,9,4
2,Stronger,Kanye West,Rap,Workout,111,G Major,9B,8,6
3,Lucky You,"Eminem, Joyner Lucas",Rap,Workout,153,A# Minor,3A,9,5
4,ISIS,"Joyner Lucas, Logic",Rap,Workout,120,C# Major,3B,8,4
5,Standard,Stormzy,Rap,Workout,140,A Major,11B,8,5
6,Je M'appelle,Benzz,Rap,Workout,141,B Major,1B,8,5
7,King's Dead,"Jay Rock, Kendrick Lamar, Future",Rap,Workout,82,C# Major,3B,8,3
8,Ni**as In Paris,"JAY-Z, Kanye West",Rap,Workout,140,C# Major,3B,9,5
9,A Milli,Lil Wayne,Rap,Workout,152,F# Minor,11A,9,6
10,Look Alive,"BlocBoy JB, Drake",Rap,Workout,140,Bb Major,6B,8,5
11,Keep Going,"DJ Khalid, Lil Durk, 21 Savage, Roddy Ricch",Rap,Workout,151,B Minor,10A,9,6
12,Behind Bars,Drake,Rap,Workout,142,Ab Major,4B,7,4
13,Come & Go,"Juice Wrld, Marshmello",Rap,Workout,145,C Major,8B,8,6
14,Who's Stopping Me,"Big Sean, Metro Boomin",Rap,Workout,100,G Major,9B,7,5
15,Lotto,Joyner Lucas,Rap,Workout,130,Ab Major,4B,8,6
16,Roll in Peace,"Kodak Black, XXXTENTACION",Rap,Workout,140,A# Minor,3A,8,4
17,Girls Love Rod Wave,Scorey,Rap,Vibe,85,F Minor,4A,4,4
18,Enjoy Yourself,"Pop Smoke, KAROL G",Rap,Vibe,97,B Minor,10A,6,7
19,Who Needs Love,Tory Lanez,Rap,Vibe,102,G Major,9B,5,4
20,Lean Wit Me,Juice Wrld,Rap,Vibe,164,C# Major,3B,7,3
21,Legend,Drake,Rap,Vibe,100,C# Major,3B,5,5
22,Santified,"Rick Ross, Kanye West, Big Sean",Rap,Vibe,126,A Major,11B,6,5
23,Whoa (mind in awe),XXXTENTACION,Rap,Vibe,160,F# Minor,11A,4,4
24,The Color Violet,Tory Lanez,Rap,Vibe,105,F# Minor,11A,5,4
25,616 Red Lipstick,Speed Gang,Rap,Vibe,105,G# Minor,1A,5,5
26,Anxiety,"Sleepy Hallow, Doechii",Rap,Vibe,129,C Major,8B,5,3
27,Professor X,Dave,Rap,Vibe,127,D Major,10B,6,5
28,More Money,Meekz,Rap,Vibe,91,Ab Major,4B,5,4
29,Bad N Bouj,Hp Boyz,Rap,Vibe,140,C# Major,3B,7,6
30,No Good,Juice Wrld,Rap,Vibe,170,F Major,7B,6,3
31,Sauce!,XXXTENTACION,Rap,Vibe,135,D# Minor,2A,6,4
32,Spotlight,"Marshmello, Lil Peep",Rap,Vibe,150,G Major,9B,6,5
33,"Hold On, We're Going Home","Drake, Majid Jordan",Rap,Chill,100,F# Minor,11A,3,6
34,Teenage Fever,Drake,Rap,Chill ,97,G# Minor,1A,3,5
35,Yosemite,Travis Scott,Rap,Chill,128,C Major,8B,4,5
36,Exchange,Bryson Tiller,Rap,Chill,160,F# Major,2B,4,4
37,What They Want,Russ,Rap,Chill,140,C# Minor,12A,4,5
38,Marceline,Lil God Dan,Rap,Chill,124,D# Minor,2A,3,4
39,Flaws N Sins,Juice Wrld,Rap,Chill,150,Ab Major,4B,4,4
40,Niagara Falls (Foot or 2),"Metro Boomin, Travis Scott, 21 Savage",Rap,Chill,88,D Major,10B,4,4
41,You're Mines Still,"Yung Bleu, Lil Baby",Rap ,Chill,82,F Minor,4A,3,5
42,In My Head,Juice Wrld,Rap ,Chill,160,F Minor,4A,4,4
43,ZEZE,"Kodak Black, Travis Scott",Rap,Chill,98,G# Minor,1A,4,6
44,I Don't Wanna Do This Anymore,XXXTENTACION,Rap,Chill,114,E Major,12B,2,2
45,Up Up And Away,Juice Wrld,Rap,Chill,75,E Minor,9A,3,6
46,Y.G.M.,Junes UB,Rap,Chill,140,D Minor,7A,3,4
47,Luv Is Art,"A Boogie Wit da Hoodie, Lil Uzi Vert",Rap,Chill,87,D Major,10B,3,5
48,HATE 2 LUV U,Young Cardi,Rap,Chill,165,A Major,11B,4,3
,,,,,,,,,
49,So What,"Mqx, ilysmoke",EDM,Workout,160,F# Major,2B,8,7
50,Roeses - Imanbek Remix,"SAINt JHN, Imanbek",EDM,Workout,122,Ab Major,4B,9,8
51,This War Is Mine - Clown Remix,Escape The Fate,EDM,Workout,188,E Minor,9A,9,4
52,Victory Lap Five,Fred Again...,EDM,Workout,140,Ab Major,4B,8,7
53,Stereo Love,Techno King,EDM,Workout,145,E Major,12B,8,8
54,Kiss Me Again,"Jiyagi, Septum, Frozen Frog",EDM,Workout,180,C# Minor,12A,9,8
55,Freak in me,"FOVOS, Loosie Grind",EDM,Workout,155,F# Major,2B,9,8
56,Hey Baby (Drop It to the Floor),"Fyez, HYPER DEMON, Mr Demon",EDM,Workout,154,A Major,11B,9,9
57,Look at Me Now,"BEAUZ,JKRS",EDM,Workout,154,A Major,11B,8,8
58,Around the World(La La La La La),"HITAK, TECHNO KING",EDM,Workout,160,A Minor,8A,9,8
59,APT,"RICZA, TECHNO KING",EDM,Workout,150,F# Minor,11A,8,7
60,Panda,"TECHNO KING, ELEX, Hyperpalme",EDM,Workout,143,B Major,1B,9,8
61,I Can Walk On Water,Basshunter,EDM,Workout,140,A Major,11B,8,6
62,Typa Girl,southstar,EDM,Workout,150,C# Major,3B,8,8
63,I Fink U Freeky,Die Antwoord,EDM,Workout,130,F# Major,2B,5,5
64,Let Me Hold You (Turn Me On),"Dante Klein, Cheat Code",EDM,Workout,103,C# Minor,12A,4,5
65,ten,"Fred Again...,Jozzy",EDM,Chill,128,B Minor,10A,4,5
66,Shy Girl,Kedam,EDM,Chill,113,B Major,1B,4,5
67,red,ANDREWBATES,EDM,Chill,120,F Minor,4A,3,4
68,Chill,Slushii,EDM,Chill,124,A Major,11B,4,5
69,Oh Devil,Electric Guest,EDM,Chill,97,G Minor,6A,5,6
70,BIRDS OF A FEATHER,"New Beat Order, Yellow Pvnk, Mr Demon",EDM,Chill,160,Bb Major,6B,5,7
71,Bad Habits,"midnight Berlin, 9Lives, TECHNO KING",EDM,Chill,164,B Minor,10A,5,6
72,River Flows In You,"Neptunica, Jasper Forks, Alex Christensen",EDM,Chill,170,A Major,11B,4,5
73,Be Your Sound,"Cosmic Gate, Emma Hewitt",EDM,Chill,132,G Major,9B,4,5
74,Hide & Seek - Tiesto Remix,"Imogen Heap, Tiesto",EDM,Chill,130,F# Minor,11A,5,6
75,Run,"Lane 8, Kasablanca",EDM,Chill,124,F Major,7B,5,7
76,On A Good Day,OceanLab,EDM,Chill,136,F# Major,2B,4,6
77,Ocean Drive,Duke Dumont,EDM,Chill,115,G# Minor,1A,4,6
78,No Place - Will Clarke Remix,"RUFUS DU SOL, Will Clarke",EDM,Chill,125,B Minor,10A,4,5
79,Faded,ZHU,EDM,Chill,125,A Minor,8A,5,6
80,Rollin,"Calvin Harris, Future, Khalid, Funk Wav",EDM,Chill,92,F# Minor,11A,3,5
81,What You Hiding?,YouNotUs,EDM,Vibe,135,A# Minor,3A,6,7
82,Promises,BOVOSKI,EDM,Vibe,154,C# Major,3B,7,8
83,Ocean Avenue,"Fairlane, Ryan Scott Graham",EDM,Vibe,170,C Major,8B,7,8
84,L'Amour Toujours,"Lawstylez, Techno King, M-T3CK",EDM,Vibe,150,D Major,10B,8,9
